共：22090个

拼音,数量,内容
hun,43,楎睧阍渾敯尡諢葷繉倱昬昏魂餛浑惛轋俒忶慁荤焝鼲馄婚顐閽睔堚圂溷鯶棞诨涽餫琿混惽睯棔珲殙
huo,77,邩嗀矐鍃镬嚿獲艧咊濩或彟鍯漷惑貨蠖秳蒦萿祸夥穫嚄矆豁锪火活騞礊霍靃癨剨禍彠曤壑沎瀖攉湱耯煷获韄雘劐旤矱鱯閄楇佸檴臒咟鏓讗耠鑊謋伙眓掝钬硅嚯奯藿货瓁捇和擭鈥
ji,324,級韲簊鞿劑蓟隮罽季泲棘鯚橶嗘稷繋鑙瘈庴麂期寂继蔇疾漃级殛薺嵴莋鱾鮆汲耭撃鰂鑇銡墼濟葪鏶鐖聻犄蓻峜朞诘璣筓痵襀鱀鰿叽磯鸡禝矶鞊际嚌吉佶迹鵋嶯毄洎鱭冀既缉咭跽紀繼穖跻嵇济讥唧妓轚挤檵衱瞡賫襋蘻其兾蹟坖亽丮革狤掎齎辑记圾鈒稽髻濈譤際刏羁檕稩忌屐悸蘎亼丌蕀機彐集觙积几鍓霽系裚櫅楖蟣銈積鷄鶏穊尐霁癠笄稘礏雞槉梞矂斊糘皍鴶鲫惎跡揤虮塉臮蛣极鸄彶瘠芨給蒺叝霙繫斉穧癘姬旣藉禨覊漈擮齏暨虀雧觭齍騎击箕緝擊魢机刉剤檝穄鬾笈飢魝輯羇荠樍曁覬畿及躸覉膌芰墍鶺雦耤躋箿卽姫骥彑喞偮愱鯽済齑枅鳮擠基籍萁楫齌幾驥伎計饥諅忣萕激饑岌赍賷玑居嫉吃潗堲亟哜踖绩偈急戢给撠旡纪懻譏璾己羈褀極蘮鲚瀱奇績畸脊誋戟鰶觊齐郆妀计蕺魕即癪姞欚記祭蝍技桝肌蹐剞湒寄塈嘰鹡螏垍伋霵勣剂嵆薊竒卙乩継
jia,128,嘉價佼铗胛铰腵稼叚仮痂傢皎榢価缴拁餃挾架犌麚狡瘕侥湫扴钾驾挟徦踋恝鵊裌嫁猳戛颊毠镓絞椵戞婽駕鉀槚嘏价贾鞈撹賈檞跲徼浹鴐餄甲泇嗧搅筴角剿加鉿唊饺圿撟夹跏矫矯檟蛱夏榎莢鉸珈梜玾浃枷绞敫耞脚迦假袷鞂縀硈袈挢鋏荚郟貑郏鎵蛺幏捁舺斚鉫岬乫笳伽頬頰夾埉豭攪家茄繳葭斝佳
jian,225,見釰尖鶼荐徤槛餞襉鍳玪間枧幵奸姦蒹魐碱磵翦谮谏韉堿蕳虃餰鋻鑬弿瞼劒椷蹇鈃监瀐瑐葌緘鳽缄捡襇鳒湕撿検戋俴趝籛詃繝堅鬋趼腱樫廌检茧冿譼臶檻锏鹼鵳覵戬毽簡賤贱箭揃煎菺戔孯瀸珔濺僭馢薦鲣劍韀谫熸俭譖见猏囝睷菅糮鰹鹸建梘擶殲減涧礆惤襺諌倹艦麉兼栫劎搛絸践剱劔檢糋騝澗减鏩踐揀螹柬拣键溅姧豜謭艰戩踺剣謇賎剑犍鐧鹻瀳蔪藆笺鑯礛礀櫼縑裥牮健繿浅坚饯靬鰜鞬件釼諓缣瀽睑艱楗瞷箋肩熞渐剪鑑淺牋简飦鹣豣歼洊榗鑳殱筧蕑鐗鍵覸暕鞯蠒鑒鰔鉴湔篯漸囏儉舰间繭旔監挸諫碊硷侟寋譾笕鰎
jiang,64,膙彊繮酱缰畺弶姜糡槳薑僵鱂獎韁奨摾講嵹糨謽殭江疆桨浆顜瓨豇漿壃奬醤將讲絳绛螿茳犟滰虹蒋洚将鳉匞蔣降強匠奖耩橿螀翞摪袶礓醬畕强葁疅
jiao,131,煍艽澆佼滘覚铰儌憿烄茮鷍孂皎皭灚穚僥湬缴嘄餃曒校嘂蟭賋譑燋狡酵窌峤臫鴵侥湫呌藠漅踋晈虠徺皦暞鱎挍較憍斠焦纐珓僬絞訆敎覐璬窖詨姣轿蟂礁撹徼交譥峧觉搅叫角剿饺嬌撟噭郊漖潐蟜矫蕉矯筊膠敽茭嚼教鉸劋鷦蛟勦浇绞敫醮鐎脚椒腳膲挢鲛轎芁胶鷮捁嶕骄驕鮫鹪嘦爝跤较娇釂嶠攪鵁繳噍覺
jie,150,鶛誡煯榤訐癤節藉杢結偼庎幯劼価拮崨階街衱界婕楐擑鐑湝巀玠楶趌偈唶鮚倢畍秸琾竭躤楷椄徣蚧菨丯碣讦繲睫觧疖价詰誱解借刧滐杰悈袺騔岊嵥揭潔楬疥嵑桔蝔搩屆蠘犗孑嗟媘掶艥踕媫劫诘结蠞祴鎅颉皆节傑捷堺喈緳媎迼櫭褯鍻頡紒桀蠽痎鲒緁吤擳櫛诫昅卪掲偕絜啑堦羯脻揤介截骱喼鉣蜐姐接芥莭刼卩戒稭洁阶蓵魀届瀄砎飷家腉犵岕刦洯
jin,94,贐浕錦鹶燼巹荕晉黅赆筋漌衿尽荩觐噤近釒侭金殣馑賮溍濜谨斤凚祲矜嬧进襟瑧覲觔蓳兓瑾慬锦嫤勁紧菫珒肵進紟僅緊僸廑菳靳謹寖厪盡堇璡儘琎璶搢墐瘽藎缙劲齽禁今浸伒惍饉卺槿嚍瑨歏晋縉钅巾仅埐烬津濅妗嶜
jing,110,宑頸鏡妌凊濪竟巠競境粳兢迳睛猄憼浄晶京靚鶄鯨胫荊燛茎憬逕葝桱婧璟梷璥镜劤景暻坙靖敬靜驚坕徑竞经肼婙腈蟼鼱経獍擏竸聙径勁經亰痙靓阱麠弳黥秔剄曔井菁刭涇旌惊稉麖警淨精誩凈脛净劲倞頚丼荆旍弪鲸鶁汬竫烴静瀞泾竧颈婛鵛儆痉橸俓莖穽
jiong,31,幜熲褧絅澃蘔顈迥颎侰窘炯冂烱綗煚駫炅逈埛駉坰皛煛僒冏冋蘏囧泂扃
jiu,63,舊舏捄鬏紤阄揪麔鬮旧柾鷲丩觓乆牞匶赳揂九匛镹樛就臼桕咎糾汣鳩啾轇救疚韭慦舅奺灸久厩廐廏僦柩酒媨朻鯦勼湫究纠萛韮鹫鸠匓玖齨糺廄揫
ju,181,葅櫃钜蘜懼遽炬掬洰鶪窭琚眗耟醵柜居勮踘榉欅蒟邭举據澽匊咀拒倶鮔淗擧焣粔鮈鵙楀舉湨斪驹椐郹巨驧龃愳踞袓秬刟車俱蜛窶岠挶鵴裾娵駶揟椈怇涺毱矩筥躹距屦詎弆陱桔蝺怚抅諊歫讵箤趜雎崌菊昛虡屨泦拘罝貗鴡且锯拠鐻侷瞿駏躆烥劇焗鋸啹寠锔窼榘輂鴂跼飓沮凥椇泃埧犑簴莒巈聚疽毩鯺踙鞫据鼳鉅鄓狊婅輋倨襷苣鋦惧挙车絇蹫蚷梮跔姖埾苴橘足狙具腒剧趄鶋局齟壉櫸犋痀鞠踽駒竘檋艍跙佢蛆粷枸婮句颶
juan,54,絹錈悁劵鹃鄄慻勬臇圈倦菤圏桊勌涓娟身朘鎸狷睠淃鵑鬳裐雋瓹巻卷腃睊羂捲镌捐锩姢鐫俊罥眷绢蠲獧剶奆儁飬脧隽埢帣韏
jue,98,玨蕝诀嶥噱桷覚崛焳氒鷢爑爴弡觖镢抉傕觼踋掘爵劂鱊捔厥亅蹶瘚撧逫覐蟨瑴蹷憠砄鐝觉憰赽角嗟倔鈌玦彏挗绝獗矍嚼攫欔撅疦堀龣欮橛僪絶脚蟩蚗鴃斍訣孓戄譎刔殌珏钁臄谻决屩鐍絕崫噘芵孒屫爝矡熦決躩橜蕨谲穱覺焆趹
jun,65,餕鵘麕蕈袀皹龜晙頵姰蔨浚馂覠汮均陖埈龟畯骏麏竣箟箘窘濬捘銞蚐军鲪寯珺雋碅囷筠懏峻麇攈桾俊亀軍君呁蜠郡駿菌焌儁鮶銁葰攟皸隽皲捃钧鈞莙
ka,11,咔咖鉲胩佧裃卡喀哈咳咯
kai,39,闿烗勓炏愒恺楷奒愾凱开闓鐦輆豈凯剀欬炌揩剴塏颽咳慨壒鍇暟嘅忾垲開蒈铠鎧锎锴侅愷
kan,39,槛戡砍嵁繿衎檻龛崁凵惂闞輡龕冚瞰莰欿轗埳栞磡勘偘阚竷矙歁顑墈鬫看嵌刊塪歞堪侃坎
kang,27,抗粇慷匟砊康鏮漮扛亢槺嫝炕鈧躿邟忼鱇钪穅糠伉閌嵻犺囥闶
kao,21,稁靠燺薧鲓髛拷烤铐鷱鮳銬熌栲洘尻考犒丂槀攷
ke,79,剋渴恪峇厒苛髁鲄兡牁簻薖钶娔嗑砢锞坷嶱刻碦棵礚柯可喀敤鈳顆殻颗兙榼垎壳磕殼溘骒揢稞颏勊嵙科轲咳渇氪萪愙緙胢軻騍尅客呵蚵缂頦克搕蝌堁珂疴瞌岢課礍课犐勀醘炣窠閜樖
ken,18,錹懇豤掯硍肎齦恳褃裉龈啃齗肻珢墾肯垦
keng,17,妔牼吭娙硻挳鍞坑銵鏗摼硜劥坈铿阬硁
kong,14,鞚涳空錓鵼孔恐硿控倥悾埪崆箜
kou,27,芤宼寇怐敂筘袧瞉抠滱彄冦口窛蔻簆叩鏂鷇釦劶眍摳蔲剾瞘扣
ku,31,骷橭郀扝矻刳枯絝褲苦绔袴俈桍喾窟堀楛趶圐哭酷裤胐庫库跍秙嚳顝瘔
kua,13,骻挎夸垮胯晇誇咵侉荂跨姱銙
kuai,31,蒯凷儈擓膾噲快喎哙會咼塊墤獪鲙鬠会鄶块筷駃鱠澮狯脍浍侩糩欳郐檜
kuan,12,臗窾欵款寬髖窽梡髋歀寛宽
kuang,53,眖硄況絖纊矿贶旷纩诳圹砿黋曠匩框鄺邼爌眶礦軭狂誑貺鉱况懭洭儣昿筐恇絋夼誆岲兤哐抂筺劻鑛俇匡鵟邝曂彉躀壙诓卝
kui,84,犪揆匱樻悝窺暌馗蕢闚隗潰巋椢聭媿葵傀櫆蹞骙蒉鍨瞶楑頍尯溃騩硊蘷鐀晆峞魁聩騤蘬躨瞆藈聵餽篑楏窥鑎逵頯蔮岿匮愧馈夔謉鍷撌跬奎戣籄蝰喹煃噅喟盔睽槶刲憒茥亏虧愦鄈湀鞹簀聧饋嘳簣
kun,47,褌髨裍鯤鹍晜梱髠稇髡困猑崑騉壼昆锟惃睏琨捆涃熴硱瑻菎焜祵貇裈稛錕閸婫悃阃蜫鲲閫坤壸齫崐綑鵾堃醌
kuo,23,扩蛞擴拡鞟姡彍阔擃桰適括漷霩栝鞹韕濶挄适闊廓籗
la,39,菈揧鑞镴拉鞡垃喇旯落辢溂柆啦揦砬攋臘鵣嚹鯻蝲臈瓎蓝剌邋蠟瘌磖藍鬎腊翋蝋藞蜡楋辣
lai,47,梾癩襰錸赖婡来麳徕顂棶籟唻藾睞鶆娕瀬瀨頼崃萊琜铼勑櫴庲涞鯠徠赉癞賚淶筙濑賴騋籁俫箂來莱倈崍郲睐
lan,81,栏嵐礷澜欄岚懒籃蘫缆壏擥攬儖阑譋孏糷纜漤覽厱瓓欖濫烂燗榄欗爦拦籣燣讕爤躝藍襽爛婪韊灡滥幱褴瀾钄篮爁兰爫罱攔谰蓝覧闌懢醂顲壈襤孄斕揽灠览镧灆葻璼鑭浨襕斓蘭囒襴燷嬾懶
lang,42,朗桹琅艆锒郞閬蜋崀浪朤狼斏樃峎欴鋃郎啷嫏埌稂蓈蓢螂榔塱勆誏焃俍蒗郒莨躴廊朖筤硠瑯烺阆
lao,56,咾蟧嫪労劳铑涝髝狫落軂唠耢簩浶崂醦澇佬哰鐒耂恅躼憥轑栳銠老酪醪荖磱珯捞橯橑铹撈姥络憦嶗潦癆耮僗鮱痨蛯絡勞嘮烙窂牢
le,25,泐哷了楽埒阞鰳竻餎叻鳓砳頱勒肋仂乐氻艻玏簕樂饹忇扐
lei,73,纇鼺癗耒檑誄镭櫐厽轠蠝攂涙頛儽洡縲瓃鑸擂类礨累銇頪鑘颣蘱畾絫磊虆酹鐳蘲錑蘽鸓靁罍儡欙缧瘣磥勒蕌壘樏藟泪礌淚讄纍肋鱩櫑蕾塁類诔嫘雷纝垒羸傫灅禷嘞壨礧
leng,13,冷蔆塄唥踜稜倰崚薐堎愣棱楞
li,256,瓑厘矋剺艃鲡狸娌傈塛力悝藓蘚里苙漓峲暦孷斄砬秝蚸瓈砅粝濿枥慄俪猍罹歴筣戻岦囄猁梨鑗轹攦攡蠇鯬轢邐悷粍俚醨裏鬲嚟呖棃砾蒞鳢曞貍瀝喱禮磿綟鹂粒鱳犡疠壢錅邌婯曆轣雴粴犛茘跞雳砺氂儷丽梸觻樆理蟍麗梩裡悡沴鉝瓅巁痢讈疬鏫礰勵蠡笠蛠礪謧蘺縭麜坜瓥蠫犂锂鲤鴗櫔糲禲盭悧櫪鷅浬欐郦菞躒廲莉劙骊鱱礫蟸剓醴栵爏厯李欚璃朸驪篱凓吏唳搮歷隸鯉釐靋鳨戾厲鸝瑮糎琍赲籬峢棙蓠嫠篥蝷囇蜊藜隷礼攭缡皪隶涖鱧栗澧漦黧苈刕励櫟靂麶沥睝儮鱺立厉栃例兣逦历莅厤蔾穲豊孋嚦峛溧哩蜧酈浰娳騹唎俐離藶鷑鬁栎黎粚屴蠣纅爄鋫栛利詈鯏釙荔黐鵹檪鋰癘蛎癧离灕脷褵犁珕
lia,2,俩倆
lian,100,奁楝譧濓聫鐮籢脸纞臉蘝襝練瀮聯镰蘞梿奱潋蔹羷蓮錬漣练蠊萰連噒奩臁濂煉堜怜鲢湅连斂链蹥鰊裢鰱劆憐璉瑓螊嫾聨櫣匳炼僆敛謰琏鄻嬚鍊涟縺籨澵翴燫嗹溓褳熑稴澰匲瀲聮帘薟鎌鏈裣联戀磏媡鬑槤亷殮簾莲薕殓慩恋廉摙歛覝
liang,47,掚谅倆梁輌靓粱輛諒緉喨两俩晾辌倞粮蜽凉脼綡魉鍄啢輬魎樑駺裲靚踉兩亮良湸悢莨椋辆両量簗唡糧墚哴涼
liao,66,蹘撂鄝漻嶚撩膫暸屪疗了釕瞭蓼蟉廫鐐寥爒鷯蹽鹩豂摎嫽熮炓尦簝燎療镽敹繚嵺寮窷藔顟髎飉蟟料獠璙尞缭廖鷚镣憭潦憀僚嘹飂賿钌辽窲嶛尥聊爎遼膋
lie,39,浖猎迾鬛蛚煭颲犣躐鮤烈挒列挘埒鴷冽茢咧巤儠鱲趔姴洌猟捩埓獵蛶劣烮睙擸裂劽聗鬣脟
lin,80,膦暽疄厸鱗焛閵邻驎粦菻廪癝瀶僯晽懍凛懔賃崊躪拎癛鄰檁林蹸藺啉痳吝鏻燐麐繗粼瞵壣潾秘磷霖临蔺矝甐惏悋嶙躏冧恡翷罧橉麟赁澟綝辚臨斴箖璘亃廩躙凜鳞轔琳獜碄隣檩轥遴淋撛
ling,94,砱魿棂爧玲昤衑翎酃霗岭竛聆笭羚霝麢菱輘鯪凌鲮欞秢紷櫺琌刢领囹蛉令怜蓤另錂霊堎伶龄睖綾狑澪鴒铃泠詅蕶醽呬閝陵鹷瓴阾姈領淩零齢掕燯呤皊霛舲碐棱坽鈴柃炩齡祾孁苓夌嶺蘦裬鸰岺朎靈绫灵駖軨跉婈龗彾袊
liu,85,流鹠鉚嚠羀麍桞坴媹嵧餾翏锍鏐鰡驑磂镠瑠鷚镏溜塯雡沠蹓駠鷎栁畂鐂陸馏劉熘碌遛飹浏硫鋶綹駵鎏騮橮桺嬼藰飗裗畱珋瀏癅霤蓅瑬瘤留澑刘畄懰飀六榴璢疁骝旈琉廇陆鹨罶鬸绺蒥鎦鶹旒柳橊飅
lo,2,咯乥
long,69,癃槞屸嚨聋龓襱梇眬爖靇挵巄漋徿贚礲霳挊瀧豅篭湰砻躘弄昽滝壟蠬朧哢硦珑隴鸗胧瓏壠窿衖咙櫳隆蘢茏嶐垄竜栊龍儱巃拢垅笼陇龒曨攏礱泷聾籠蠪鏧矓鑨龙
lou,46,瞜蒌漏蔞樓娄嵝摟喽婁鏤軁髏耬塿僂溇屚耧篓簍瘺漊露瘻熡謱鞻鐚镂楼艛廔蝼鷜陋搂髅甊嘍剅嶁瘘螻偻遱
lu,217,膢滤瀂轤櫖淕圥玈挔鏀镥律舮蕗潞旅舻膐渌箓纑蓼鸕勠鹿轆路硵膟艪爐郘樚垏盠鏕馿峍露率虏魯侓磠瓐彔稆氌顱澛赂庐鱸芦葎驢鑢廬鹵祿罏睩緑卤鐪禄魲陸驴獹铝穞垆艣慺逯滷碌炉磟褛履僂椂橹剹艫瀘錴璐嚕爉濾膔漊娽勎擼鯥曥盧噜捋嚧掳捛藘櫓穭廘菉録粶熝辘穋焒侣偻鲁琭簬辂趢氯擄蘆卢儢虂櫨氇鸬臚侶撸祣葏栌鵦稑婁蹗踛屡膂綠鹭籙轳賂籚摝屢塶鲈鑥觮麓鈩塷櫚醁勴呂鏴簶硉泸絽蔍录颅蠦輅攎榈慮鋁六簏僇黸螰闾閭虑陆卛枦缕鑪梠甪錄氀蓾盝矑鵱髗壚胪樐寽漉鷺嵂褸騼騄绿吕戮虜淥縷
luan,32,峦巒灤圞娈鸾欒虊孪孌栾滦亂鵉曫臠挛攣乱鑾孿羉鸞脔灓銮癴癵薍卵圝釠
lue,11,掠圙擽鋝畧锊稤鐚鋢略攊
lun,34,陯惀論埨圇碖輪崘鯩稐侖錀抡溣菕棆论囵掄仑淪轮倫沦耣纶嗧崙伦踚婨腀綸蜦
luo,75,泺雒儸嗠箩硌囉覶螺脶臝笿剆濼落猡欏瘰籮羅漯鎯洜覼蘿騾纙荦跞蠃犖鵅玀逻酪萝裸咯倮腡罗邏蓏癳曪峈韷椤洛骆覙躶络寽鏍囖珞骡捋鴼攞啰鑼鮥镙蔂絡駱烙驘濽锣鸁饠摞
ma,48,嬤吗麼螞玛擵马媽码碼蟆嘛駡蔴嬷罵蟇抹麻溤瑪蚂獁鷌閁骂傌馬摩祃嘜帓榪妈鎷禡唛亇犸遤犘么嫲鰢杩睰痲嗎
mai,24,買邁迈卖勱売麥霾薶劢脉眿脈霡蕒鷶荬埋賣佅蝐嘪麦买
man,49,鳗襔悗饅滿缦曼蔓鬘鬗摱蔄僈幔矕蛮漫鰻鏝槾獌璊澫镘謾螨慲熳澷蠻谩蘰鞔墁慢蟎満顢鏋屘蹣瞒埋馒瞞满縵嫚颟
mang,40,盳駹鋩氓壾忙漭笀牻蛖狵邙悂娏牤铓庬尨杧盲杗鼆奀汒茻浝芒痝恾硥茫莽釯吂哤蘉莾蟒蠎硭
mao,61,蝥茅覒媌鉚茆酕牦錨昴猫貌矛笷柕毷毛瞀瞐兞冐戼渵嫹皃萺瑁旄罞蟊贸媢耄艒泖貓堥眊鶜夘鄚冇茂楙貿锚髳冒軞卯暓懋枆铆冃髦鄮袤帽峁芼
me,4,麽麼嚒么
mei,77,槑湄眉挴呅嬍枚睂煝猸蝞鹛燘糜没煤镁寐躾葿楣魅梅痗韎徾媄每跊鋂妹鎂镅酶篃腜謎黴袂媚谜楳霉浼玫祙珻毎美瑂莓瑁塺沬睸脄鶥渼湈堳昧苺媒禖鬽嵄郿凂攗媺黣嵋栂鎇脢沒眛
men,20,暪鍆們门虋樠捫钔懑閅悶们穈闷門焖菛燜懣扪
meng,55,虻鯍懜懞錳夣甍氋氓甿莔檬猛儚艋梦幪鸏瓾夢掹靀盟鄳蒙锰濛曚蜢溕矒鹲勐蠓冡霿雺懵萌獴朦矇萠橗礞饛霥蕄孟鄸擝蝱瞢鯭艨
mi,96,蒾鼏蜜塓詸獼麛瞇宻怽攠靡蔤糜壐眫幎幦瀰宓擟謐麿敉脒瓕蔝沵戂罙蘼籋猕羃纟覓櫁糸樒祢秘眯謎迷谜幂濗麋禰冞鸍濔藌淿醚洣冖榓醾渳弥滵峚觅泌釄覔漞糹簚侎镾哶祕汨銤咪密米孊麊葞灖嘧芈蘪爢縻冪彌弭醿蠠谧檷淧
mian,50,臱蝒麫杣丏芇偭面矈緜勉矊絻冕緬靦婂汅黽免勔愐麺麵绵黾矏糆麪俛渑娩喕鮸沔嬵檰粫靣湎缅眠眄櫋澠腼綿棉宀媔
miao,27,苗喵缈篎繆邈廟杳杪淼緢庙秒緲玅妙鱙藐鹋庿描渺鶓竗缪瞄眇
mie,23,乜蠛衊鴓咩幭櫗灭滅蔑瀎礣衉鑖覕篾搣孭懱吀羋薎鱴
min,55,崏閔愍潣閖敯忟錉琘敃苠瑉暋慜罠碈抿珉盿閺敏黽鍲鰵闵捪痻旼簢泯皿黾緡缗湣刡砇鈱笢怋鳘岷悯忞緍閩僶旻冺玟憫闽澠勄民
ming,31,嫇眳命榠酩姳洺鸣鄍蓂朙盟銘慏溟眀螟明瞑猽凕熐暝冥茗铭名鳴覭佲詺
miu,5,謬唒繆缪谬
mo,104,貘麼擵帞蟔慔劘懡貊默萬嚤瞙謨嚰歿脉嘜塻衇眽脈劰没陌冒磨枺万貉湐饃昩镆謩麽袹銆漠蘑無皌蓦礳粖糢黙驀鏌庅茉橅摸沫魔鬕狢抹末覛纆嗼獏暯眜砞蛨癦瘼莫藦模縸膜歾莈貃嫫靺爅鞆无饝馍谟妺魩嚜嫼摹冐嚩嘿摩霢秣髍寞抺墨沒圽耱殁
mou,22,蛑愗繆謀鉾洠恈呣踇某麰冇鍪牟谋劺哞踎缪侔眸鴾
mu,51,鶩亩砪楘苜穆牳霂胟炑幙畝莯鉬慕畒雮娒恈募牡畞鉧姆仫毣峔蚞母姥毪畮墲墓牧沐暮拇钼木牟睦目鞪模畆凩幕橅氁坶
na,32,挐訥納妠纳鈉嗱钠抐軜衲雫袦呐呢豽誽蒳娜乸哪拏那吶拿鎿捺肭南魶笝镎
nai,26,倷褦氖迺氝嬭熋錼奶佴艿耐螚萘柰渿釢摨孻哪疓奈妳鼐乃廼
nan,26,喃楠畘男湳萳諵枏侽枬柟娚暔囡赧揇奻腩蝻囝南难戁婻莮難
nang,12,嚢灢囊饢儾乪曩欜齉攮囔馕
nao,43,闹挠腦硇鬧孬撓蟯鐃橈嶩怓悩呶猱蛲碯匘閙獶獿淖夒譊臑瑙脑峱繷铙努垴脳髐堖巙恼伮詉憹惱巎虁
ne,5,讷呐呢訥哪
nei,12,內氞馁内餒氝脮哪那鮾鯘腇
nen,4,嫰黁嫩恁
neng,4,能薴濘儜
ng,2,嗯唔
ni,77,暱郳擬埿柅鶂苨鯓氼铌孴觬秜輗鲵旎怩抳婗泥薿拟狔籾你膩馜蜺貎嬺嫟麑霓祢屔尼儞尿妳跜匿禰屰逆惄鷁狋呢臡鉨鷊坭譺淣隬慝倪縌猊伲堄睨聣鯢腻蚭溺迡昵姄伱鈮齯胒妮儗檷
nian,37,跈酿撚輦秥碾齳埝蹨鲇鲶廿艌鮎鯰簐鵇卄年黏涊念淰姩拈蔫秊攆齞唸捻躎粘鼰哖辇撵
niang,6,嬢醸酿娘孃釀
niao,15,裊袅嫋樢嬝脲尿嫐鸟蔦褭嬲鳥溺茑
nie,56,乜囁钀敜齧闑鈢涅颞齩蘖疌踂鎳棿蘗踗嚙鑷捏喦嗫嵲孽帇孼聶圼鑈噛痆糵囓镊惗苶糱菍陧蠥錜湼篞蹑櫱巕顳聂臲枿躡揑臬镍啮隉
nin,4,拰您恁囜
ning,32,宁狞寍咛泞鑏聍獰鸋擰柠寜橣矃佞侫倿澝聹苧寗檸寧寕嬣濘鬡甯拧凝苎嚀
niu,15,杻妞汼拗鈕忸炄纽钮牛莥扭紐靵狃
nong,25,挵鬞襛挊弄燶噥醲禯哝浓侬癑农穠檂農辳膿濃儂秾脓欁齈
nou,10,嗕耨鎒槈羺譨鐞譳獳啂
nu,23,籹衂駑搙驽鴑弩胬忸孥笯怒奴朒蒘砮釹钕努女伮衄恧
nuan,6,偄煗渜煖餪暖
nue,4,疟謔瘧虐
nuo,29,挪掿砈喏逽搻梛儺榒锘諾糯郍穤搦蹃娜糥傩捼鍩挼糑愞懦稬橠诺懧
o,4,嚄喔哦噢
ou,31,熰欧偶毆区蕅鷗謳櫙殴歐鴎瓯漚讴區沤塸甌藕吽腢呕蓲嘔吘鸥膒怄耦慪
pa,24,葩蚆鈀袙舥皅怕帕扒钯趴跁掱妑爬絈琶杷筢帊耙潖派啪
pai,19,棑篺汖牌矲哌拍輫湃俖排簰徘簲俳鎃迫派蒎
pan,50,奤番般蒰蹒潘畔鎜蟠盼噃炍盘詊胖盤拚幋牉眅溿媻爿跘冸縏鞶瀊判叛頄袢槃沜蹣丬砙畨鵥頖襻攀搫扳踫磻鑻坢泮磐
pang,33,膀霶覫彷耪乓龎胖篣庬嫎嗙鳑尨厖螃舽雱膖龐鰟騯胮蒡旁炐徬滂肨庞厐磅逄
pao,29,抛脬咆爮皰炰炮疱髱跑狍庖麅礟匏萢刨砲靤拋泡麭軳奅垉礮袍鞄瓟
pei,41,馷岯娝昢配裴赔珮伂翇妚琣呸姵旆柸沛浿佩陫苝帔轡錇荖賠霈裵坏斾锫胚醅毰阫垺培辔衃肧陪
pen,11,歕喯翉瓫盆呠翸葐喷湓噴
peng,59,皏硼棚輣鵬蟚鬔朋竼塳傰抨漰搒韸倗嘭痭錋淎膨驡蓬彭芃埄堋梈韼纄蟛軯捧駍匉鹏烹淜髼澎磞樥椖篷憉閛椪挷鬅怦鑝砰塜蘕掽恲稝碰硑
pi,121,怶玭狉羆砒擗鷿炋駓焷礔壀霹被肶裨纰秠壊芘毗隦貔罷闢犤痞疲鴄坯譬埤癖揊耚皮陂枇鈚披渒睤睥甓陴魮蜱圮諀屁庀脴鼙抷铍嚭怌邳朇髲潎磇辟腗嫓阰吡螷蚽猈旇髬礕秛翍鉟淠憵郫啤噽脾鮍笓苉椑銔澼疋膍蚍魾豾媲仳伾噼丕毞壞崥狓鈹毘藣釽琵錍否批嚊劈坏紕蠯鲏鸊僻罴豼匹
pian,33,骿扁腁騈偏騗媥萹貵諚翩蹁覑遍諞囨骗便鶣胼魸片犏騙駢楩緶谝頨篇賆缏骈
piao,37,慓醥骠竂缥縹犥淲鷅朴殍剽螵篻莩薸皫顠飄飃票驃瓢旚嫖瞟嘌彯闝魒蔈翲僄漂勡徱飘
pie,8,丿鐅暼撇瞥苤氕撆
pin,25,颦穦貧瀕牝姘嬪品涄榀嫔聘贫蘋苹频薲娦嚬矉拼頻顰礗拚
ping,52,郱馮蓱評俜泙萍鮃憑玶頩呯枰娉覮輧焩凭竮鲆乒洴聠荓幈軿蚲屏凴坪蘋甁苹箳缾炾砯胓帡瓶冯艵甹慿簈蛢帲塀絣平屛评
po,46,泺嘙钋波洦皤醱钷酦朴坡陂笸鏺溌泼蒪潑泊尀頗珀砶粕魄翍樸攵廹鄱癹蔢攴岶破炇颇剖迫繁醗叵婆櫇烞鉕
pou,13,捊哣掊剖抔裒犃咅婄廍棓抙吥
pu,60,箁烳堡鏷扑菩酺擈脯朴菐痡莆襆諩穙檏纀镤譜瀑蹼鐠葡蒱潽浦撲暜襥蒲鋪铺璞噗氆樸匍瞨仆溥谱轐陠誧圃舖曝暴濮墣僕贌抪舗埔圑镨鮬普
